ID,DateTime,MilliSeconds,1,2,3,4,5,6,7,8
1,20220110T135457,0,33.90,95.00,64.90,109.10,128.00,46.40,69.40,46.60
2,20220110T135459,100,145.00,40.20,66.80,26.20,92.40,88.20,87.00,149.60
3,20220110T135459,200,197.50,44.50,55.10,43.10,81.20,59.00,168.00,90.70
4,20220110T135459,300,65.80,171.20,192.80,193.30,131.10,180.10,111.70,50.60
5,20220110T135459,400,43.20,44.30,77.50,36.60,135.40,171.00,17.40,135.50
6,20220110T135459,500,29.80,171.60,17.50,14.70,125.90,108.40,152.40,12.40
7,20220110T135459,600,165.60,123.10,144.10,18.10,30.00,13.20,14.60,66.20
8,20220110T135459,700,190.60,166.40,48.20,194.50,153.40,69.60,39.50,158.40
9,20220110T135459,800,83.40,105.00,159.60,87.50,166.30,90.90,41.30,127.50
10,20220110T135459,900,118.90,98.90,71.70,158.90,14.80,181.60,167.10,33.40
11,20220110T135459,1000,116.80,154.10,143.20,22.30,139.60,171.60,28.10,14.10
12,20220110T135501,1100,20.10,79.60,22.40,42.80,175.40,37.90,62.80,149.40
13,20220110T135501,1200,161.30,11.30,127.50,78.30,131.00,20.70,150.80,144.30
14,20220110T135501,1300,139.20,164.10,188.10,149.90,119.50,84.70,101.60,102.20
15,20220110T135501,1400,49.20,14.10,98.00,174.20,48.20,43.70,90.70,195.20
16,20220110T135501,1500,122.90,120.50,182.30,64.00,81.70,15.00,79.10,196.80
17,20220110T135501,1600,136.00,97.30,56.70,57.40,13.40,32.80,173.60,143.90
18,20220110T135501,1700,191.60,171.80,10.40,97.90,184.00,161.80,64.90,167.50
19,20220110T135501,1800,68.20,152.70,116.70,28.20,103.50,190.80,150.90,65.80
20,20220110T135501,1900,167.30,186.60,49.30,130.10,88.70,198.80,188.70,11.00
21,20220110T135501,2000,169.00,193.40,35.40,96.80,88.20,154.00,50.40,157.80
22,20220110T135503,2100,21.50,16.00,110.90,54.60,25.40,72.20,31.70,93.80
23,20220110T135503,2200,115.10,157.90,66.70,111.50,16.50,78.30,114.30,142.90
24,20220110T135503,2300,10.90,155.20,161.90,21.60,61.00,36.70,197.40,127.80
25,20220110T135503,2400,194.00,50.80,61.50,85.90,167.80,56.10,80.70,78.80
26,20220110T135503,2500,53.60,74.80,135.30,157.70,146.10,41.80,83.20,118.80
27,20220110T135503,2600,16.70,60.70,191.20,171.70,193.20,195.30,18.00,92.90
28,20220110T135503,2700,66.10,14.30,27.20,179.40,143.50,51.30,188.30,151.00
29,20220110T135503,2800,115.50,71.50,140.10,19.00,121.70,102.70,162.40,71.90
30,20220110T135503,2900,100.70,19.40,28.10,18.10,128.40,20.10,110.90,23.20
31,20220110T135503,3000,32.50,95.70,96.70,122.20,48.30,41.50,94.60,94.90
32,20220110T135504,3100,93.30,147.30,167.90,192.80,83.90,15.10,86.50,77.00
33,20220110T135504,3200,29.90,163.20,126.80,50.50,90.80,51.60,42.80,27.40
34,20220110T135504,3300,162.80,25.30,178.90,79.00,40.00,127.30,102.10,61.50
35,20220110T135504,3400,74.80,26.30,195.30,93.20,176.50,35.70,184.60,163.40
36,20220110T135504,3500,114.40,157.50,13.30,28.00,20.80,178.80,124.10,30.80
37,20220110T135504,3600,43.40,14.40,121.10,158.00,128.20,154.10,102.30,180.50
38,20220110T135504,3700,127.80,120.00,150.00,86.10,104.90,142.70,80.40,189.50
39,20220110T135504,3800,79.90,42.80,72.30,176.50,145.10,117.80,160.50,150.70
40,20220110T135504,3900,14.30,123.50,145.50,27.80,116.10,96.20,74.50,154.10
41,20220110T135504,4000,194.00,94.10,137.60,65.30,132.40,157.60,73.10,187.00
42,20220110T135506,4100,108.40,142.70,94.80,32.90,158.20,39.30,183.40,64.10
43,20220110T135506,4200,178.70,186.80,175.90,105.50,20.20,117.50,182.70,80.70
44,20220110T135506,4300,181.60,81.80,153.10,24.30,73.30,172.40,163.70,154.40
